番号,名言（英語）,名言の日本語訳,発言者,発言者の情報,深い文法解説,写真のURL
170,The best preparation for tomorrow is doing your best today.,明日のための最良の準備は、今日最善を尽くすことだ。,H. Jackson Brown Jr.,アメリカの作家。人生の教訓をまとめた本で知られる。,【関係代名詞の省略】 shots と you の間には that/which が省略されています。打たなかった（takeしなかった）シュートは成功率0であるという論理で、行動しないことのリスクを説いています。,-
171,"Put your heart, mind, and soul into even your smallest acts.",あなたの心、精神、魂を、どんなに小さな行いにも注ぎ込みなさい。,Swami Sivananda,インドのヨガ指導者、精神的指導者。,【接続詞 as if】 「まるで〜であるかのように」。永遠に続くかのような壮大な夢と、今日で終わるかのような切実な行動。2つの相反する仮定を並べることで、生の質を高めるよう促しています。,-
172,"My mission in life is not merely to survive, but to thrive.",私の人生の使命は、ただ生き残ることではなく、力強く成長し成功することだ。,Maya Angelou,アメリカの詩人、作家、公民権運動活動家。,【関係代名詞の省略】 「運命（destined）」で決まる自分ではなく、「決断（decide）」で決まる自分こそが本物であるという対比。未来の自己像は現在の意思で決まるという強いメッセージです。,-
173,"No act of kindness, no matter how small, is ever wasted.",どんなに小さな親切も、決して無駄にはならない。,Aesop,古代ギリシャの寓話作家。『イソップ物語』で知られる。,【動詞 prepare A for B】 ordinary（凡庸な）に extra-（超える）をつけた extraordinary（非凡な）の対比が秀逸。苦難は、あなたをより高いステージへ上げるための「準備（prepare）」であると述べています。,-
174,The only journey is the one within.,唯一の旅とは、自分の内なる旅である。,Rainer Maria Rilke,オーストリアの詩人、作家。,【不定詞の目的】 自分自身を制御するには「頭（理性）」を、他人を動かすには「心（共感）」を使え。セミコロン（;）を用いた対照的な並列構造です。,-
175,The root of suffering is attachment.,苦しみの根源は執着である。,Buddha（ブッダ）,仏教の開祖。本名はゴータマ・シッダールタ。,【前置詞 under】 勇気とは、単なる強さではなく、圧力を受けている（under pressure）時でも保たれる「優雅さ（grace）」である。極限状態での態度の美しさを定義しています。,-
176,"Where words fail, music speaks.",言葉が通じないとき、音楽が語りかける。,Hans Christian Andersen,デンマークの童話作家。『マッチ売りの少女』などを執筆した。,【強調構文】 It is A that ...（･･･なのはAだ）。最も重要（count）なのは、成功や失敗といった結果ではなく、続けるという「勇気」そのものであると強調しています。,-
177,"We do not remember days, we remember moments.",私たちは日々を覚えているのではなく、瞬間を覚えているのだ。,Cesare Pavese,イタリアの詩人、小説家、翻訳家。,【使役的動詞】 始めるきっかけ（gets you started）と、継続させる力（keeps you going）。成功に必要な2つの要素を、動詞の働きの違いで論理的に説明しています。,-
178,"If you want to live a happy life, tie it to a goal, not to people or things.",幸せな人生を送りたいなら、人や物ではなく、目標に結びつけなさい。,Albert Einstein,ドイツ生まれの理論物理学者。独自の視点で宇宙の真理を探求した。,【倒置構文】 本来 Opportunity lies in...。場所を表す句を文頭に出すことで、「まさに困難の真っ只中に！」という発見の驚きと強調を表現しています。,-
179,In three words I can sum up everything I've learned about life: it goes on.,私が人生について学んだすべてを3語で要約できる。「それは続く（it goes on）」と。,Robert Frost,アメリカの詩人。自然をテーマにした作品でピューリッツァー賞を4度受賞。,【進行中の表現】 under construction（建設中）。成功への道は完成されたものではなく、常にメンテナンスや改善が必要な「未完成のプロセス」であることを例えています。,-
180,A smile is the universal welcome.,笑顔は、世界共通の歓迎のサインである。,Max Eastman,アメリカの著述家、詩人、社会活動家。,【現在完了と前置詞句】 「これまでずっと欲しかったもの」。恐怖（fear）の「向こう側（other side）」という場所を示すことで、一歩踏み出すことの価値を視覚的に伝えています。,-
181,The most wasted of all days is one without laughter.,すべての日の中で最も無駄な日は、笑いのない日である。,E.E. Cummings,アメリカの詩人。独特の文法と型破りなスタイルで知られる。,【同格の that 節】 proof（証拠）の内容を that 節が補足。間違い（Mistakes）を「失敗」ではなく「挑戦（trying）の証拠」と定義し直し、前向きな捉え方を促しています。,-
182,"Happiness is not by chance, but by choice.",幸せは偶然ではなく、選択によって得られる。,Jim Rohn,アメリカの起業家、自己啓発作家。,【比較級】 速度（speed）よりも方向（direction）を重視。どれほど速く進んでいても、方向が間違っていれば意味がないという優先順位を論理的に示しています。,-
183,Sometimes the questions are complicated and the answers are simple.,時に、質問は複雑だが、答えはシンプルである。,Dr. Seuss,アメリカの絵本作家。『ハットしてキャット』などで世界的な人気を誇る。,【命令文 + or】 「〜しなさい、さもないと･･･」。自分の夢を持って動かなければ、他人の夢のために時間を使う（hireされる）人生になると警告しています。,-
184,A goal without a plan is just a wish.,計画のない目標は、ただの願い事にすぎない。,Antoine de Saint-Exupéry,フランスの作家、操縦士。『星の王子さま』の著者。,【比較級】 完璧さ（perfection）よりも継続（consistency）の価値を上に置いています。一時の高い質より、長く続けることの強さを説く構造です。,-
185,The true sign of intelligence is not knowledge but imagination.,知性の真の証とは、知識ではなく想像力である。,Albert Einstein,ドイツ生まれの理論物理学者。20世紀最大の物理学者。,【動名詞の補語】 成功 ＝ 失敗から失敗へ歩き続けること。with no loss of...（〜を失うことなく）という条件を付け、精神的なタフさが成功の条件であることを述べています。,-
186,"Be kind, for everyone you meet is fighting a hard battle.",親切にしなさい。あなたが出会うすべての人は、困難な戦いをしているのだから。,Plato（プラトン）,古代ギリシャの哲学者。ソクラテスの弟子であり、アリストテレスの師。,【助動詞 can と turn into】 可能性（can）。方向さえ正しければ、どんなに小さな一歩も「最大の一歩」へと変化（turn into）しうるという、複利の力を表現しています。,-
187,Try to be a rainbow in someone's cloud.,誰かの雲の中に架かる虹になりなさい。,Maya Angelou,アメリカの詩人。多くの人々に希望と勇気を与えた。,【使役動詞 let】 努力は「静寂（silence）」の中で行い、成功を「騒音（noise＝証拠）」にせよ。言葉でのアピールよりも、結果で証明せよという力強い命令です。,-
188,There is no charm equal to tenderness of heart.,心の優しさに匹敵する魅力はない。,Jane Austen,イギリスの小説家。『高慢と偏見』などで知られる。,【不定詞の名詞的用法】 鍵 ＝ 集中すること。視点を障害（obstacles）から目標（goals）へと意識的に切り替えるべきだというアドバイスです。,-
189,"I have found that if you love life, life will love you back.",もしあなたが人生を愛せば、人生もあなたを愛し返してくれることに私は気づいた。,Arthur Rubinstein,ポーランド出身のピアニスト。20世紀を代表する巨匠の一人。,【同等比較 not as ... as】 手に入る「物（what you get）」よりも、変化した「自分（what you become）」に価値がある。自己変革こそが目標達成の真髄であると説いています。,-
190,"Life is really simple, but we insist on making it complicated.",人生は本当にシンプルだが、私たちはそれを複雑にしようと言い張る。,Confucius（孔子）,古代中国の思想家、哲学者。儒教の始祖。,【関係代名詞】 世界に見たいと願う（wish to see）「変化（change）」に、自分自身がなりなさい。他人に求める前に自分がまず行動せよという、自己改革を促す構造です。,-
191,Love is a serious mental disease.,愛とは、深刻な精神の病である。,Plato（プラトン）,古代ギリシャの哲学者。西洋哲学の基礎を築いた。,【動名詞と when 節】 人格（Character）とは、監視（nobody looking）がなくても「正しいことをすること」であると定義。誠実さの真価を簡潔に述べています。,-
192,The best way out is always through.,最良の脱出方法は、常に「通り抜ける」ことだ。,Robert Frost,アメリカの詩人。困難に直面した際の心構えを説いた。,【前置詞 with】 感謝（grateful）を伴って一日を始める。一日の質は、技術や環境ではなく、最初の「心の持ちよう」で決まるという因果関係を示唆しています。,-
193,"Success is not how high you have climbed, but how you make a positive difference to the world.",成功とはどれだけ高く登ったかではなく、世界にどれだけプラスの変化をもたらしたかだ。,Roy T. Bennett,アメリカの作家。『The Light in the Heart』の著者。,【動名詞と過去との比較】 他者との競い合い（the best）ではなく、昨日の自分（yesterday）との比較。成長の基準を「自分自身」の中に置くことを提案しています。,-
194,A problem is a chance for you to do your best.,問題とは、あなたが最善を尽くすためのチャンスである。,Duke Ellington,アメリカのジャズのピアニスト、作曲家。,【名詞句の対比】 「いつか（One day）」と「今日を初日にする（day one）」。語順を入れ替えることで、決断一つで未来が変わることを表現し、選択を委ねています。,-
195,You must do the things you think you cannot do.,あなたは、自分にはできないと思うことをやらなければならない。,Eleanor Roosevelt,アメリカのファーストレディ、人権活動家。,【命令文 + and】 「信じなさい、そうすれば･･･」。at your feet（足元にある）という慣用表現を使い、自己信頼があれば世界を意のままにできるという結果を示しています。,-
196,"Whatever the mind of man can conceive and believe, it can achieve.",人の心が思い描き、信じることができるものはすべて、達成することができる。,Napoleon Hill,アメリカの成功哲学者。『思考は現実化する』の著者。,【前置詞 between】 目標（goals）と達成（accomplishment）の間に、架け橋としての「規律（Discipline）」を置く。2点を繋ぐ唯一の手段を視覚的に表現しています。,-
197,It’s not the years in your life that count. It’s the life in your years.,重要なのは生きた年数ではなく、その年数の中でどれだけ充実して生きたかだ。,Abraham Lincoln,第16代アメリカ合衆国大統領。アメリカの分裂を防いだ。,【so ... that 構文】 今日をあまりに素晴らしく（awesome）すれば、昨日が嫉妬（jealous）するほどになる。過去の自分を常に超え続ける姿勢を擬人化で表現しています。,-
198,"You can’t use up creativity. The more you use, the more you have.",創造性を使い果たすことはできない。使えば使うほど、より多くを得るのだ。,Maya Angelou,アメリカの詩人、作家、女優。,【不屈の数詞対比】 七回倒れても八回起きる。文法的には極めて簡潔ですが、起き上がる回数を一回多くすることで、「最後には必ず勝つ」という決意を象徴しています。,-
199,I destroy my enemies when I make them my friends.,私は敵を友にすることで、敵を滅ぼすのだ。,Abraham Lincoln,第16代アメリカ合衆国大統領。寛容な精神で国をまとめた。,【韻による対比】 才能（aptitude）より態度（attitude）が、到達高度（altitude）を決める。似た響きの単語を使い、成功の本質が心構えにあることを印象付けています。,-
200,A winner is a dreamer who never gives up.,勝者とは、決して諦めない夢想家のことだ。,Nelson Mandela,南アフリカ共和国の元大統領。アパルトヘイト撤廃の英雄。,【使役動詞 let】 苦闘（struggle）を、自分の「正体（identity）」にしてはいけない。困難はあくまでプロセスであり、存在そのものではないという境界線を引いています。,-
201,I failed my way to success.,私は失敗を重ねて成功への道を歩んだ。,Thomas Edison,アメリカの発明家。試行錯誤を何より重んじた。,【自動詞の拡張】 fail my way to ... で「失敗しながら（失敗という道を通って）〜にたどり着く」というニュアンス。結果としての成功ではなく、過程としての失敗を肯定する構造です。,-
202,Only I can change my life. No one can do it for me.,自分の人生を変えられるのは自分だけだ。誰も私の代わりにはやってくれない。,Carol Burnett,アメリカの女優、コメディアン。,【代名詞による対比】 Only I（自分だけ）と No one（誰も〜ない）。助動詞 can を繰り返すことで、自分の人生の主導権が自分にしかないことを論理的に強調しています。,-
203,"Quality is not an act, it is a habit.",品質とは行為ではなく、習慣である。,Aristotle,古代ギリシャの哲学者。アテナイに学園リュケイオンを開設した。,【否定と肯定の並列】 品質（Quality）を「一時的な行為（act）」ではなく「継続的な習慣（habit）」と再定義。短い SVC 構文が、その本質を力強く断定しています。,-
204,"To accomplish great things, we must not only act, but also dream; not only plan, but also believe.",偉大なことを成し遂げるには、行動するだけでなく夢を見なければならない。計画するだけでなく信じなければならない。,Anatole France,フランスの詩人、小説家。ノーベル文学賞受賞者。,"【Not only A but also B】 この構文を2回重ねることで、外的な行動（act, plan）と内的な精神（dream, believe）の両立が不可欠であることをリズム良く表現しています。",-
205,I will go anywhere as long as it is forward.,前に進むのであれば、私はどこへでも行く。,David Livingstone,スコットランドの探検家、宣教師。アフリカ大陸を広く探検した。,【条件の接続詞 as long as】 「〜である限りは」。場所（anywhere）を問わず、方向（forward）さえ正しければ進み続けるという、強い意志を will で表現しています。,-
206,Do not let what you cannot do interfere with what you can do.,できないことのせいで、できることまで妨げられてはならない。,John Wooden,アメリカの伝説的なカレッジバスケットボールコーチ。,【使役動詞 let と what 節】 「let A B（AにBさせる）」。できないこと（what you cannot do）が、できること（what you can do）を邪魔するのを許すな、という高度な対比構造です。,-
207,Defeat is not bitter unless you swallow it.,敗北は、それを飲み込まない限り苦くはない。,Joe Clark,アメリカの教育者。映画『リーン・オン・ミー』のモデルとなった校長。,【接続詞 unless】 「〜しない限りは」。敗北（Defeat）という事象そのものではなく、それを「飲み込む（受け入れて屈する）」という自分の態度が苦しさを決めるという論理です。,-
208,Fall seven times and stand up eight.,七転び八起き。,Japanese Proverb,日本のことわざ。何度失敗しても立ち上がる不屈の精神を表す。,【数詞による対比】 文法はシンプルですが、転倒回数より起き上がる回数を1回多くすることで、「最後は立ち上がって終わる」という不屈の精神を象徴的に示しています。,-
209,"He who has health, has hope; and he who has hope, has everything.",健康な者には希望がある。そして希望がある者は、すべてを持っている。,Thomas Carlyle,イギリスの歴史家、思想家、評論家。,"【先行詞を含む he who】 「〜する人は」。健康 → 希望 → すべて、と A=B, B=C のように繋げていくことで、健康がすべての土台であることを論理的に説明しています。",-
210,"Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.",たとえ明日世界が粉々になると知っていても、私は今日リンゴの木を植える。,Martin Luther,ドイツの神学者。宗教改革の中心人物。,【仮定法過去】 「たとえ（実際には起きないが）明日世界が滅びると分かっていても」。would を使うことで、状況に左右されない人間の高潔な決意を表現しています。,-
211,Every day may not be good... but there's something good in every day.,毎日が良い日とは限らない。しかし、毎日の中に何か良いことがある。,Alice Morse Earle,アメリカの歴史家、著述家。,【部分否定 may not】 「毎日が良いわけではない（良い日もあれば悪い日もある）」。後半の there is 構文で視点を変え、どんな日の中にも「良さ（something good）」を見出す姿勢を説いています。,-
212,The greatest wealth is health.,最大の富は健康である。,Virgil,古代ローマの詩人。『アエネーイス』の作者。,【最上級による定義】 最も偉大な富（The greatest wealth）＝ 健康。シンプルながらも、価値観の優先順位を明確に打ち出す SVC 構文です。,-
213,Never let the fear of striking out keep you from playing the game.,三振を恐れて、ゲーム（試合）に参加することをやめてはならない。,Babe Ruth,アメリカの元プロ野球選手。野球界の歴史に残るホームラン王。,【keep A from -ing】 「Aが〜するのを妨げる」。恐怖（fear）によって挑戦（playing the game）を止められてはいけない。使役動詞 let の否定で、強い禁止と励ましを表現しています。,-
214,You must expect great things of yourself before you can do them.,何かを成し遂げる前に、まずは自分自身に偉大なことを期待しなければならない。,Michael Jordan,アメリカの元プロバスケットボール選手。圧倒的な自信で勝利を掴んだ。,【助動詞 must と語法】 「expect A of B（BにAを期待する）」。行動（do them）の前に、まず自己への期待（expect）が必要であるという、内面から外への因果関係を示しています。,-
215,"Focus on the journey, not the destination.",目的地ではなく、旅（プロセス）そのものに集中しなさい。,Greg Anderson,アメリカの作家、ウェルネスの専門家。,【前置詞 on の焦点】 結果（destination）という一点ではなく、過程（journey）という広がりに意識を向けろという対比。on のイメージが「集中」を際立たせています。,-
216,There are two ways of spreading light: to be the candle or the mirror that reflects it.,光を広めるには2つの方法がある。自らがロウソクになるか、光を反射する鏡になるかだ。,Edith Wharton,アメリカの小説家。女性として初めてピューリッツァー賞を受賞。,【関係代名詞 that】 光を広める2つの手段を不定詞（to be）で説明。能動的なロウソクと、受動的だが忠実な鏡。that節が鏡の役割を詳しく補足しています。,-
217,"Life changes very quickly, in a very positive way, if you let it.",人生は、あなたがそうさせてあげれば、非常に前向きな方向に、とても早く変わっていく。,Lindsey Vonn,アメリカの元アルペンスキー選手。オリンピック金メダリスト。,【使役動詞の代動詞 let it】 let it (change) の略。「もしあなたが人生が（変わるのを）許せば」。自分の心が許可を与えれば、人生の変化は加速するという条件を if で示しています。,-
218,You are never too old to set another goal or to dream a new dream.,新しい目標を設定したり、新しい夢を見るのに、年をとりすぎているということはない。,C.S. Lewis,イギリスの学者、小説家。『ナルニア国物語』の作者。,【too ... to 構文】 「〜するにはあまりに･･･すぎる（＝できない）」の否定。「年をとりすぎていてできない、なんてことは決してない（never）」という強い二重否定的な励ましです。,-
219,"I don't need it to be easy, I need it to be worth it.",簡単である必要はない。価値あるものであってほしいのだ。,Lil Wayne,アメリカのラッパー、音楽プロデューサー。,【第5文型 want A to be B】 A（状況）が B（簡単）であることを求めるのではなく、B（価値がある）であることを求める。困難さを引き受ける覚悟を対比で表現しています。,-
220,Find out who you are and do it on purpose.,自分が何者かを見つけ、それを意図的に実行しなさい。,Dolly Parton,アメリカのシンガーソングライター、女優。,【間接疑問文 who you are】 「自分が誰であるか」を突き止める（Find out）。その上で、意図的に（on purpose）その個性を生きろという、自己実現へのステップを命令文で示しています。,-
221,Always turn a negative situation into a positive situation.,常に、否定的な状況を肯定的な状況に変えなさい。,Michael Jordan,アメリカの元プロバスケットボール選手。ピンチをチャンスに変えるメンタルを持っていた。,【動詞 turn の語法】 「turn A into B（AをBに変える）」。状況（situation）の形容詞を negative から positive へと反転させることで、捉え方の転換を促しています。,-
222,Limit your 'always' and your 'nevers'.,あなたの「いつも」と「絶対に〜ない」を制限しなさい。（決めつけをなくしなさい）,Amy Poehler,アメリカの女優、コメディアン。,【名詞としての副詞】 本来副詞である always（いつも）や never（決して〜ない）を名詞として扱い、決めつけや極端な思考を「制限（Limit）」せよと説く、ユニークな表現です。,-
223,If you have good thoughts they will shine out of your face like sunbeams.,良い考えを持っていれば、それは太陽の光のようにあなたの顔から輝き出る。,Roald Dahl,イギリスの小説家。『チャーリーとチョコレート工場』の原作者。,【直喩 like】 良い考え（good thoughts）が顔から「輝き出る（shine out）」という内面の反映を、太陽光（sunbeams）に例えて視覚的に表現しています。,-
224,Happiness is not a goal...it's a by-product of a life well lived.,幸福は目標ではない。よく生きた人生の副産物である。,Eleanor Roosevelt,アメリカのファーストレディ、国連人権委員会の初代委員長。,【過去分詞の後置修飾】 lived well（良く生きられた）という過去分詞が life を修飾。幸福は追いかける「目標」ではなく、正しい生き方の「副産物（by-product）」であるという真理です。,-
225,No one is useless in this world who lightens the burdens of another.,他人の重荷を軽くしてあげる人は、この世で決して無用ではない。,Charles Dickens,イギリスの小説家。『クリスマス・キャロル』や『オリバー・ツイスト』の著者。,【関係代名詞の先行詞との離反】 who 節が修飾しているのは文頭の No one です。他人の重荷を軽くする（lightens the burdens）行為が、存在の価値を決定するという構造です。,-
226,There is no path to happiness: happiness is the path.,幸福への道はない。幸福こそが道なのだ。,Buddha（ブッダ）,仏教の開祖。本名はゴータマ・シッダールタ。,【名詞の再定義】 幸福へたどり着くための「道（path）」を否定し、幸福を感じながら歩むこと自体が「道」であると定義。コロン（:）による劇的な反転です。,-
227,Be kind whenever possible. It is always possible.,可能な限り親切にしなさい。そしてそれは、常に可能である。,Dalai Lama,チベット仏教の最高指導者。非暴力と慈悲を説く。,【複合関係副詞 whenever】 「可能なときはいつでも」。後半の It は kind でいることを指し、親切にするチャンスは逃せばないのではなく、常に自分の意志で創れることを示しています。,-
228,"It is not what happens to you, but how you react to it that matters.",重要なのは何が起こるかではなく、それにどう反応するかだ。,Epictetus,古代ローマのストア派の哲学者。奴隷出身から哲学者となった。,【強調構文と Not A but B】 「It is A that ...」の形。重要なのは起きたこと（what happens）ではなく、どう反応するか（how you react）であると、手段と態度を強調しています。,-
229,To win without risk is to triumph without glory.,リスクなしに勝つことは、栄光なしに勝利することだ。,Pierre Corneille,フランスの劇作家。フランス古典主義悲劇の確立者。,【不定詞の名詞的用法】 勝つこと（To win）＝ 勝利すること（to triumph）。リスクを排除することは、同時に栄光（glory）も排除することになるという、表裏一体の関係を述べています。,-
230,"The brave man is not he who does not feel afraid, but he who conquers that fear.",勇敢な人とは、恐怖を感じない人ではなく、その恐怖を克服する人のことだ。,Nelson Mandela,南アフリカ共和国の元大統領。アパルトヘイト撤廃に尽力した。,【関係代名詞 he who】 勇敢さの定義を「恐怖を感じない（does not feel）」から「克服する（conquers）」へと上書きしています。感情ではなく行動が勇気を決めるという教えです。,-
231,Only the educated are free.,教育を受けた者だけが自由である。,Epictetus,古代ローマのストア派の哲学者。自律と精神の自由を重んじた。,【形容詞の名詞化 the + 形容詞】 the educated で「教育を受けた人々」。自由（free）は特権ではなく、教育によって得られる精神の状態であるという断定的な SVC です。,-
232,What you do today can improve all your tomorrows.,今日あなたのする行動が、あなたのすべての明日を良くすることができる。,Ralph Marston,アメリカの作家。「The Daily Motivator」の創設者。,【what節と助動詞 can】 「今日の行動」が主語。can（可能性がある）を使うことで、今の自分の一歩が未来のすべてを好転させる希望の因果関係を示しています。,-
233,Act as if what you do makes a difference. It does.,自分の行動が違いを生み出すかのように行動しなさい。実際、違いを生み出すのだから。,William James,アメリカの哲学者、心理学者。プラグマティズムの代表的思索家。,【接続詞 as if と強調の does】 違いを生む（make a difference）かのように振る舞え。最後の It does. は事実であることの念押し（代動詞）です。,-
234,Success is falling nine times and getting up ten.,成功とは9回倒れて10回起き上がることだ。,Jon Bon Jovi,アメリカのミュージシャン、俳優。ロックバンド「ボン・ジョヴィ」のリーダー。,【動名詞の並列】 成功の内容を「転ぶこと（falling）」と「起き上がること（getting up）」のセットとして提示。回数を 9回対10回にすることで、不屈の精神を表現しています。,-
235,The best time to plant a tree was 20 years ago. The second best time is now.,木を植えるのに一番良かった時期は20年前だ。次に良い時期は今である。,Chinese Proverb,中国のことわざ。何かを始めるのに遅すぎることはないという教え。,【不定詞の形容詞的用法】 過去の後悔（20 years ago）を認めつつ、現在（now）を「次善の策」として提示。今始めることが最善であると論理的に促しています。,-
236,We grow great by dreams.,私たちは夢によって偉大になる。,Woodrow Wilson,第28代アメリカ合衆国大統領。国際連盟の創設に尽力した。,【前置詞 by の手段】 「夢（dreams）」という手段によって人間は「偉大に育つ（grow great）」。内なるビジョンが外的な成長を導くというシンプルな因果関係です。,-
237,You change your life by changing your heart.,心を変えることで、人生を変えることができる。,Max Lucado,アメリカの牧師、作家。多くのベストセラーを執筆。,【動名詞による手段】 人生を変える（change your life）方法は、心を変えること（changing your heart）である。原因と結果を同じ動詞 change で繋ぐことで、直結した変化を強調しています。,-
238,It takes courage to grow up and become who you really are.,成長して本当の自分になるには、勇気が必要だ。,E.E. Cummings,アメリカの詩人、画家。,【形式主語 It と不定詞】 真の主語は to grow up...。「本当の自分（who you really are）」になることの困難さを it takes（必要とする）という動詞で表現しています。,-
239,What you do speaks so loudly that I cannot hear what you say.,あなたの行動があまりにも雄弁だから、あなたの言う言葉が聞こえない。,Ralph Waldo Emerson,アメリカの思想家、哲学者。言葉よりも行動の重要性を説いた。,【so ... that 構文】 行動があまりにうるさく叫ぶ（speaks so loudly）ので、言葉（what you say）が聞こえない。言葉よりも行動が真実を語るという擬人化を用いた強調です。,-
240,Success is getting what you want. Happiness is wanting what you get.,成功とは欲しいものを手に入れること。幸福とは手に入れたものを欲することだ。,Dale Carnegie,アメリカの作家、自己啓発の権威。『人を動かす』の著者。,【what節の対置】 成功（Success）と幸福（Happiness）の違いを、get と want の語順を入れ替えるだけで見事に定義。外的な所有と内的な満足の差を説いています。,-
241,"If you want to go fast, go alone. If you want to go far, go together.",早く行きたいなら一人で行け。遠くまで行きたいなら皆で行け。,African Proverb,アフリカの伝統的なことわざ。チームワークの重要性を説く。,【条件節 If の対比】 speed（fast）なら一人（alone）、distance（far）ならチーム（together）。目的によって手段を選ぶべきだという、並列の論理構造です。,-
242,"Life is short, and it is here to be lived.",人生は短い。そしてそれは、生きるためにここにある。,Kate Winslet,イギリスの女優。映画『タイタニック』などで数々の賞を受賞。,【不定詞の受動態】 to be lived（生きられるために）。人生は「ある（here）」だけでなく、実際に「生きられる（行動を伴う）」べき対象であるという存在意義を述べています。,-
243,To think is easy. To act is hard.,考えることは易しい。行動することは難しい。,Johann Wolfgang von Goethe,ドイツの詩人、劇作家、小説家。『ファウスト』の著者。,【不定詞の主語】 「考えること」と「行動すること」。対照的な形容詞 easy と hard を使うことで、実行の難しさと価値を際立たせています。,-
244,"Genius is 1% inspiration, and 99% perspiration.",天才とは、1％のひらめきと99％の努力である。,Thomas Edison,アメリカの発明家。努力の重要性を最も端的に表現した名言。,【名詞の並列】 ひらめき（inspiration）と努力（perspiration）の比率を提示。似た響きの単語を使い、成功の大部分が泥臭い努力によって構成されていることを示しています。,-
245,"Perfection is not attainable, but if we chase perfection we can catch excellence.",完璧を手に入れることはできないが、完璧を追い求めれば「卓越」を掴むことができる。,Vince Lombardi,アメリカのアメリカンフットボールの伝説的コーチ。,【接尾辞 -able と動詞の対比】 到達可能（attainable）ではない完璧（Perfection）を「追いかける（chase）」ことで、結果として卓越（excellence）を「捕まえる（catch）」ことができるというプロセスです。,-
246,Nothing is so contagious as enthusiasm.,熱意ほど伝染しやすいものはない。,Samuel Taylor Coleridge,イギリスの詩人、批評家、哲学者。,【同等比較 not so ... as】 enthusiasm（熱意）以上に「伝染しやすい（contagious）」ものはない。最上級の意味を比較構文で表現し、熱意の及ぼす影響力を最大化しています。,-
247,"A ship in harbor is safe, but that is not what ships are built for.",港にいる船は安全だが、それは船が造られた目的ではない。,John A. Shedd,アメリカの作家、教育者。挑戦することの意義を説いた。,【関係代名詞 what と前置詞 for】 「そのために（for what）」船が造られた。安全（safe）であることよりも、目的（航海）を果たすことこそが本来の存在意義であるという比喩表現です。,-
248,Character is doing the right thing when nobody's looking.,人格とは、誰も見ていない時に正しいことをすることである。,J.C. Watts,アメリカの政治家、元アメリカンフットボール選手。,【動名詞と when 節】 人格（Character）とは「正しいことをすること」。他者の目（nobody's looking）という外的要因に関わらず、内面的な正しさを貫くことを定義しています。,-
249,"If you do not change direction, you may end up where you are heading.",もし方向を変えなければ、今向かっている場所にたどり着いてしまうだろう。,Lao Tzu（老子）,古代中国の哲学者。道教の創始者とされる。,【関係副詞 where】 end up（結局〜になる）。今の方向（direction）のまま進めば、意図せずともその延長線上に着いてしまうという、無意識の慣性への警告です。,-
250,Never leave that till tomorrow which you can do today.,今日できることを明日に延ばすな。,Benjamin Franklin,アメリカ建国の父の一人。時間を有効に使うことを重んじた。,【倒置】 本来 Never leave [that which you can do today] till tomorrow。目的語が長いため後回しにされています。今日できることを明日に回すな、という有名な格言の強調形です。,-
251,There is nothing permanent except change.,変化すること以外に、永遠に続くものはない。,Heraclitus,古代ギリシャの哲学者。「万物は流転する」と説いた。,,-
252,"Do not go where the path may lead, go instead where there is no path and leave a trail.",道が続いている場所へ行くのではなく、道がない場所へ行き、足跡を残しなさい。,Ralph Waldo Emerson,アメリカの思想家、詩人。開拓者精神を称賛した。,,-
253,A wise man will make more opportunities than he finds.,賢者は、見つけるよりも多くの機会を自ら創り出す。,Francis Bacon,イギリスの哲学者、神学者。「知識は力なり」で知られる。,,-
254,The two most important days in your life are the day you are born and the day you find out why.,人生で最も重要な2つの日は、自分が生まれた日と、その理由を見つけた日だ。,Mark Twain,アメリカの作家。ユーモアと鋭い人間観察で知られる。,,-
255,I would rather die of passion than of boredom.,退屈で死ぬくらいなら、情熱で死にたい。,Vincent van Gogh,オランダのポスト印象派の画家。情熱的に芸術を生きた。,,-
256,Logic will get you from A to B. Imagination will take you everywhere.,論理はあなたをA地点からB地点へ導くが、想像力はあなたをどこへでも連れて行く。,Albert Einstein,ドイツ生まれの理論物理学者。相対性理論の提唱者。,,-
257,"Whatever you do, do it well.",何をするにしても、上手に（しっかりと）やりなさい。,Walt Disney,アメリカのアニメーター、実業家。品質へのこだわりを持っていた。,,-
258,You are the average of the five people you spend the most time with.,あなたは、あなたが最も一緒に時間を過ごす5人の平均である。,Jim Rohn,アメリカの起業家、自己啓発作家。環境の重要性を説いた。,,-
259,Fortune favors the bold.,幸運は勇者に味方する。,Virgil,古代ローマの詩人。,,-
260,"He who laughs most, learns best.",最もよく笑う者が、最もよく学ぶ。,John Cleese,イギリスのコメディアン、俳優。ユーモアの重要性を強調した。,,-
261,The beautiful thing about learning is nobody can take it away from you.,学びの素晴らしいところは、誰もあなたからそれを奪えないということだ。,B.B. King,アメリカのブルース・ミュージシャン。「ブルースの王様」と呼ばれた。,,-
262,"To be the best, you must be able to handle the worst.",最高になるためには、最悪の事態に対処できなければならない。,Wilson Kanadi,作家、モチベーショナル・スピーカー。,,-
263,Great minds discuss ideas; average minds discuss events; small minds discuss people.,偉大な心はアイデアを語り、凡庸な心は出来事を語り、狭い心は人々を語る。,Eleanor Roosevelt,アメリカのファーストレディ、人権活動家。,,-
